time,v_perp,v_para,pitch_angle,v_perp_eV,v_para_eV,inval_lat
0.913,882.003,346.43,68.5563,0.0648688,0.0100075,74.9994
0.924,888.457,346.433,68.6979,0.0658216,0.0100077,74.9994
0.935,894.911,346.436,68.8377,0.0667813,0.0100079,74.9994
0.946,901.365,346.439,68.9757,0.067748,0.0100081,74.9994
0.957,907.819,346.443,69.1121,0.0687217,0.0100082,74.9994
0.968,914.273,346.446,69.2468,0.0697022,0.0100084,74.9994
0.979,920.727,346.449,69.3798,0.0706898,0.0100086,74.9994
0.99,927.18,346.452,69.5112,0.0716842,0.0100088,74.9994
1.001,933.634,346.456,69.641,0.0726857,0.010009,74.9994
1.012,940.088,346.459,69.7692,0.073694,0.0100092,74.9994
1.023,946.542,346.463,69.8959,0.0747093,0.0100094,74.9993
1.034,952.996,346.466,70.021,0.0757316,0.0100096,74.9993
1.045,959.449,346.47,70.1447,0.0767608,0.0100098,74.9993
1.056,965.903,346.473,70.2669,0.0777969,0.01001,74.9993
1.067,972.357,346.477,70.3876,0.07884,0.0100102,74.9993
1.078,978.811,346.481,70.507,0.07989,0.0100105,74.9993
1.089,985.265,346.485,70.6249,0.080947,0.0100107,74.9993
1.1,991.718,346.488,70.7415,0.0820109,0.0100109,74.9993
1.111,998.172,346.492,70.8567,0.0830818,0.0100111,74.9993
1.122,1004.63,346.496,70.9706,0.0841596,0.0100113,74.9993
1.133,1011.08,346.5,71.0832,0.0852444,0.0100116,74.9993
1.144,1017.53,346.504,71.1946,0.0863361,0.0100118,74.9993
1.155,1023.99,346.508,71.3046,0.0874347,0.010012,74.9993
1.166,1030.44,346.512,71.4134,0.0885403,0.0100123,74.9993
1.177,1036.89,346.517,71.521,0.0896529,0.0100125,74.9992
1.188,1043.35,346.521,71.6274,0.0907723,0.0100128,74.9992
1.199,1049.8,346.525,71.7327,0.0918988,0.010013,74.9992
1.21,1056.26,346.529,71.8367,0.0930321,0.0100133,74.9992
1.221,1062.71,346.534,71.9396,0.0941725,0.0100135,74.9992
1.232,1069.16,346.538,72.0414,0.0953197,0.0100138,74.9992
1.243,1075.62,346.543,72.1421,0.0964739,0.010014,74.9992
1.254,1082.07,346.547,72.2416,0.0976351,0.0100143,74.9992
1.265,1088.52,346.552,72.3401,0.0988032,0.0100146,74.9992
1.276,1094.98,346.557,72.4376,0.0999782,0.0100148,74.9992
1.287,1101.43,346.561,72.534,0.10116,0.0100151,74.9992
1.298,1107.88,346.566,72.6294,0.102349,0.0100154,74.9992
1.309,1114.34,346.571,72.7238,0.103545,0.0100157,74.9992
1.32,1120.79,346.576,72.8171,0.104748,0.0100159,74.9992
1.331,1127.25,346.581,72.9095,0.105958,0.0100162,74.9992
1.342,1133.7,346.586,73.001,0.107174,0.0100165,74.9991
1.353,1140.15,346.591,73.0914,0.108398,0.0100168,74.9991
1.364,1146.61,346.596,73.181,0.109628,0.0100171,74.9991
1.375,1153.06,346.601,73.2696,0.110866,0.0100174,74.9991
1.386,1159.51,346.606,73.3573,0.11211,0.0100177,74.9991
1.397,1165.97,346.612,73.4441,0.113362,0.010018,74.9991
1.408,1172.42,346.617,73.5301,0.11462,0.0100183,74.9991
1.419,1178.87,346.622,73.6152,0.115886,0.0100186,74.9991
1.43,1185.33,346.628,73.6994,0.117158,0.0100189,74.9991
1.441,1191.78,346.633,73.7827,0.118437,0.0100193,74.9991
1.452,1198.23,346.639,73.8653,0.119723,0.0100196,74.9991
1.463,1204.69,346.645,73.947,0.121016,0.0100199,74.9991
1.474,1211.14,346.65,74.0279,0.122316,0.0100202,74.9991
1.485,1217.59,346.656,74.108,0.123623,0.0100206,74.9991
1.496,1224.05,346.662,74.1874,0.124937,0.0100209,74.9991
1.507,1230.5,346.668,74.2659,0.126258,0.0100213,74.999
1.518,1236.95,346.674,74.3437,0.127586,0.0100216,74.999
1.529,1243.41,346.68,74.4208,0.128921,0.0100219,74.999
1.54,1249.86,346.686,74.4971,0.130262,0.0100223,74.999
1.551,1256.31,346.692,74.5727,0.131611,0.0100226,74.999
1.562,1262.77,346.698,74.6475,0.132967,0.010023,74.999
1.573,1269.22,346.704,74.7216,0.134329,0.0100234,74.999
1.584,1275.67,346.711,74.7951,0.135698,0.0100237,74.999
1.595,1282.13,346.717,74.8678,0.137075,0.0100241,74.999
1.606,1288.58,346.724,74.9399,0.138458,0.0100245,74.999
1.617,1295.03,346.73,75.0113,0.139849,0.0100249,74.999
1.628,1301.49,346.737,75.082,0.141246,0.0100252,74.999
1.639,1307.94,346.743,75.1521,0.14265,0.0100256,74.999
1.65,1314.39,346.75,75.2215,0.144061,0.010026,74.999
1.661,1320.85,346.757,75.2903,0.145479,0.0100264,74.9989
1.672,1327.3,346.764,75.3585,0.146904,0.0100268,74.9989
1.683,1333.75,346.771,75.426,0.148336,0.0100272,74.9989
1.694,1340.21,346.778,75.4929,0.149775,0.0100276,74.9989
1.705,1346.66,346.785,75.5593,0.151221,0.010028,74.9989
1.716,1353.11,346.792,75.625,0.152674,0.0100284,74.9989
1.727,1359.57,346.799,75.6901,0.154133,0.0100288,74.9989
1.738,1366.02,346.806,75.7547,0.1556,0.0100293,74.9989
1.749,1372.47,346.814,75.8187,0.157074,0.0100297,74.9989
1.76,1378.93,346.821,75.8821,0.158554,0.0100301,74.9989
