time,v_perp,v_para,pitch_angle,v_perp_eV,v_para_eV,inval_lat
0.011,347.419,346.3,45.0924,0.0100647,0.01,75
0.022,348.539,346.301,45.1845,0.0101297,0.0100001,75
0.033,349.658,346.301,45.2763,0.0101949,0.0100001,75
0.044,350.777,346.302,45.3678,0.0102602,0.0100001,75
0.055,351.896,346.302,45.4591,0.0103258,0.0100001,75
0.066,353.016,346.303,45.55,0.0103916,0.0100002,74.9999
0.077,354.135,346.303,45.6406,0.0104576,0.0100002,74.9999
0.088,355.254,346.304,45.7309,0.0105238,0.0100002,74.9999
0.099,356.374,346.304,45.821,0.0105902,0.0100003,74.9999
0.11,357.493,346.305,45.9107,0.0106569,0.0100003,74.9999
0.121,358.612,346.305,46.0002,0.0107237,0.0100003,74.9999
0.132,359.731,346.306,46.0894,0.0107908,0.0100003,74.9999
0.143,360.851,346.306,46.1783,0.010858,0.0100004,74.9999
0.154,361.97,346.307,46.2669,0.0109255,0.0100004,74.9999
0.165,363.089,346.307,46.3552,0.0109931,0.0100004,74.9999
0.176,364.208,346.308,46.4432,0.011061,0.0100005,74.9999
0.187,365.328,346.308,46.5309,0.0111291,0.0100005,74.9999
0.198,366.447,346.309,46.6184,0.0111974,0.0100005,74.9999
0.209,367.566,346.309,46.7056,0.0112659,0.0100005,74.9999
0.22,368.685,346.31,46.7925,0.0113346,0.0100006,74.9998
0.231,369.805,346.31,46.8791,0.0114036,0.0100006,74.9998
0.242,370.924,346.311,46.9654,0.0114727,0.0100006,74.9998
0.253,372.043,346.312,47.0515,0.011542,0.0100007,74.9998
0.264,373.163,346.312,47.1373,0.0116116,0.0100007,74.9998
0.275,374.282,346.313,47.2228,0.0116813,0.0100007,74.9998
0.286,375.401,346.313,47.308,0.0117513,0.0100008,74.9998
0.297,376.52,346.314,47.3929,0.0118215,0.0100008,74.9998
0.308,377.64,346.314,47.4776,0.0118919,0.0100008,74.9998
0.319,378.759,346.315,47.562,0.0119625,0.0100009,74.9998
0.33,379.878,346.315,47.6462,0.0120333,0.0100009,74.9998
0.341,380.997,346.316,47.73,0.0121043,0.0100009,74.9998
0.352,382.117,346.317,47.8136,0.0121755,0.010001,74.9998
0.363,383.236,346.317,47.897,0.0122469,0.010001,74.9998
0.374,384.355,346.318,47.98,0.0123186,0.010001,74.9998
0.385,385.474,346.318,48.0628,0.0123904,0.0100011,74.9997
0.396,386.593,346.319,48.1453,0.0124625,0.0100011,74.9997
0.407,387.713,346.319,48.2276,0.0125347,0.0100011,74.9997
0.418,388.832,346.32,48.3096,0.0126072,0.0100012,74.9997
0.429,389.951,346.321,48.3913,0.0126799,0.0100012,74.9997
0.44,391.07,346.321,48.4728,0.0127528,0.0100012,74.9997
0.451,392.19,346.322,48.554,0.0128259,0.0100013,74.9997
0.462,393.309,346.322,48.6349,0.0128992,0.0100013,74.9997
0.473,394.428,346.323,48.7156,0.0129727,0.0100013,74.9997
0.484,395.547,346.324,48.7961,0.0130464,0.0100014,74.9997
0.495,396.667,346.324,48.8762,0.0131204,0.0100014,74.9997
0.506,397.786,346.325,48.9561,0.0131945,0.0100014,74.9997
0.517,398.905,346.325,49.0358,0.0132689,0.0100015,74.9997
0.528,400.024,346.326,49.1152,0.0133434,0.0100015,74.9997
0.539,401.143,346.327,49.1943,0.0134182,0.0100015,74.9996
0.55,402.263,346.327,49.2732,0.0134932,0.0100016,74.9996
0.561,403.382,346.328,49.3519,0.0135684,0.0100016,74.9996
0.572,404.501,346.329,49.4303,0.0136438,0.0100017,74.9996
0.583,405.62,346.329,49.5084,0.0137194,0.0100017,74.9996
0.594,406.739,346.33,49.5863,0.0137952,0.0100017,74.9996
0.605,407.859,346.331,49.664,0.0138712,0.0100018,74.9996
0.616,408.978,346.331,49.7414,0.0139475,0.0100018,74.9996
0.627,410.097,346.332,49.8185,0.0140239,0.0100018,74.9996
0.638,411.216,346.333,49.8954,0.0141005,0.0100019,74.9996
0.649,412.336,346.333,49.9721,0.0141774,0.0100019,74.9996
0.66,413.455,346.334,50.0485,0.0142545,0.010002,74.9996
0.671,414.574,346.335,50.1247,0.0143317,0.010002,74.9996
0.682,415.693,346.335,50.2006,0.0144092,0.010002,74.9996
0.693,416.812,346.336,50.2763,0.0144869,0.0100021,74.9996
0.704,417.932,346.337,50.3517,0.0145648,0.0100021,74.9995
0.715,419.051,346.337,50.4269,0.0146429,0.0100022,74.9995
0.726,420.17,346.338,50.5019,0.0147213,0.0100022,74.9995
0.737,421.289,346.339,50.5766,0.0147998,0.0100022,74.9995
0.748,422.408,346.339,50.6511,0.0148785,0.0100023,74.9995
0.759,423.527,346.34,50.7254,0.0149575,0.0100023,74.9995
0.77,424.647,346.341,50.7994,0.0150366,0.0100024,74.9995
0.781,425.766,346.341,50.8732,0.015116,0.0100024,74.9995
0.792,426.885,346.342,50.9467,0.0151956,0.0100024,74.9995
0.803,428.004,346.343,51.0201,0.0152754,0.0100025,74.9995
0.814,429.123,346.344,51.0932,0.0153553,0.0100025,74.9995
0.825,430.243,346.344,51.166,0.0154355,0.0100026,74.9995
0.836,431.362,346.345,51.2386,0.015516,0.0100026,74.9995
0.847,432.481,346.346,51.311,0.0155966,0.0100026,74.9995
0.858,433.6,346.347,51.3832,0.0156774,0.0100027,74.9994
0.869,434.719,346.347,51.4552,0.0157584,0.0100027,74.9994
0.88,435.838,346.348,51.5269,0.0158397,0.0100028,74.9994
0.891,436.958,346.349,51.5984,0.0159211,0.0100028,74.9994
0.902,438.077,346.349,51.6696,0.0160028,0.0100029,74.9994
0.913,439.196,346.35,51.7407,0.0160847,0.0100029,74.9994
0.924,440.315,346.351,51.8115,0.0161667,0.0100029,74.9994
0.935,441.434,346.352,51.8821,0.016249,0.010003,74.9994
0.946,442.553,346.353,51.9524,0.0163315,0.010003,74.9994
0.957,443.673,346.353,52.0226,0.0164142,0.0100031,74.9994
0.968,444.792,346.354,52.0925,0.0164971,0.0100031,74.9994
0.979,445.911,346.355,52.1622,0.0165803,0.0100032,74.9994
0.99,447.03,346.356,52.2317,0.0166636,0.0100032,74.9994
1.001,448.149,346.356,52.301,0.0167471,0.0100033,74.9994
1.012,449.268,346.357,52.3701,0.0168309,0.0100033,74.9994
1.023,450.388,346.358,52.4389,0.0169148,0.0100034,74.9993
1.034,451.507,346.359,52.5075,0.016999,0.0100034,74.9993
1.045,452.626,346.36,52.576,0.0170834,0.0100034,74.9993
1.056,453.745,346.36,52.6442,0.017168,0.0100035,74.9993
1.067,454.864,346.361,52.7122,0.0172528,0.0100035,74.9993
1.078,455.983,346.362,52.7799,0.0173378,0.0100036,74.9993
1.089,457.102,346.363,52.8475,0.017423,0.0100036,74.9993
1.1,458.222,346.364,52.9148,0.0175084,0.0100037,74.9993
1.111,459.341,346.364,52.982,0.017594,0.0100037,74.9993
1.122,460.46,346.365,53.0489,0.0176799,0.0100038,74.9993
1.133,461.579,346.366,53.1157,0.0177659,0.0100038,74.9993
1.144,462.698,346.367,53.1822,0.0178522,0.0100039,74.9993
1.155,463.817,346.368,53.2485,0.0179386,0.0100039,74.9993
1.166,464.936,346.369,53.3146,0.0180253,0.010004,74.9993
1.177,466.055,346.369,53.3805,0.0181122,0.010004,74.9992
1.188,467.175,346.37,53.4462,0.0181993,0.0100041,74.9992
1.199,468.294,346.371,53.5117,0.0182866,0.0100041,74.9992
1.21,469.413,346.372,53.577,0.0183741,0.0100042,74.9992
1.221,470.532,346.373,53.6421,0.0184618,0.0100042,74.9992
1.232,471.651,346.374,53.707,0.0185497,0.0100043,74.9992
