time,v_perp,v_para,pitch_angle,v_perp_eV,v_para_eV,inval_lat
0.011,348.539,346.3,45.1846,0.0101297,0.01,75
0.022,350.778,346.301,45.368,0.0102603,0.0100001,75
0.033,353.017,346.301,45.5502,0.0103917,0.0100001,75
0.044,355.256,346.302,45.7312,0.0105239,0.0100001,75
0.055,357.495,346.302,45.9111,0.010657,0.0100001,75
0.066,359.734,346.303,46.0898,0.0107909,0.0100002,74.9999
0.077,361.973,346.303,46.2674,0.0109257,0.0100002,74.9999
0.088,364.212,346.304,46.4438,0.0110613,0.0100002,74.9999
0.099,366.451,346.304,46.6191,0.0111977,0.0100003,74.9999
0.11,368.69,346.305,46.7933,0.0113349,0.0100003,74.9999
0.121,370.929,346.305,46.9663,0.011473,0.0100003,74.9999
0.132,373.168,346.306,47.1382,0.0116119,0.0100004,74.9999
0.143,375.407,346.307,47.309,0.0117517,0.0100004,74.9999
0.154,377.646,346.307,47.4787,0.0118923,0.0100004,74.9999
0.165,379.885,346.308,47.6474,0.0120337,0.0100004,74.9999
0.176,382.124,346.308,47.8149,0.012176,0.0100005,74.9999
0.187,384.363,346.309,47.9814,0.0123191,0.0100005,74.9999
0.198,386.602,346.309,48.1468,0.012463,0.0100005,74.9999
0.209,388.841,346.31,48.3111,0.0126078,0.0100006,74.9999
0.22,391.08,346.311,48.4744,0.0127534,0.0100006,74.9998
0.231,393.319,346.311,48.6366,0.0128999,0.0100006,74.9998
0.242,395.558,346.312,48.7978,0.0130472,0.0100007,74.9998
0.253,397.797,346.312,48.958,0.0131953,0.0100007,74.9998
0.264,400.036,346.313,49.1171,0.0133442,0.0100008,74.9998
0.275,402.275,346.314,49.2753,0.013494,0.0100008,74.9998
0.286,404.514,346.314,49.4324,0.0136447,0.0100008,74.9998
0.297,406.753,346.315,49.5885,0.0137961,0.0100009,74.9998
0.308,408.992,346.316,49.7436,0.0139484,0.0100009,74.9998
0.319,411.231,346.316,49.8978,0.0141016,0.0100009,74.9998
0.33,413.47,346.317,50.0509,0.0142555,0.010001,74.9998
0.341,415.709,346.318,50.2031,0.0144103,0.010001,74.9998
0.352,417.948,346.318,50.3543,0.014566,0.0100011,74.9998
0.363,420.187,346.319,50.5046,0.0147225,0.0100011,74.9998
0.374,422.426,346.32,50.6539,0.0148798,0.0100011,74.9998
0.385,424.665,346.32,50.8023,0.0150379,0.0100012,74.9997
0.396,426.904,346.321,50.9497,0.0151969,0.0100012,74.9997
0.407,429.143,346.322,51.0962,0.0153567,0.0100013,74.9997
0.418,431.382,346.322,51.2418,0.0155174,0.0100013,74.9997
0.429,433.621,346.323,51.3864,0.0156789,0.0100013,74.9997
0.44,435.86,346.324,51.5302,0.0158412,0.0100014,74.9997
0.451,438.099,346.325,51.673,0.0160044,0.0100014,74.9997
0.462,440.337,346.325,51.8149,0.0161684,0.0100015,74.9997
0.473,442.576,346.326,51.956,0.0163332,0.0100015,74.9997
0.484,444.815,346.327,52.0962,0.0164989,0.0100016,74.9997
0.495,447.054,346.328,52.2355,0.0166654,0.0100016,74.9997
0.506,449.293,346.329,52.3739,0.0168327,0.0100017,74.9997
0.517,451.532,346.329,52.5115,0.0170009,0.0100017,74.9997
0.528,453.771,346.33,52.6482,0.0171699,0.0100017,74.9997
0.539,456.01,346.331,52.784,0.0173398,0.0100018,74.9996
0.55,458.249,346.332,52.919,0.0175105,0.0100018,74.9996
0.561,460.488,346.333,53.0532,0.017682,0.0100019,74.9996
0.572,462.727,346.333,53.1865,0.0178543,0.0100019,74.9996
0.583,464.965,346.334,53.319,0.0180275,0.010002,74.9996
0.594,467.204,346.335,53.4507,0.0182016,0.010002,74.9996
0.605,469.443,346.336,53.5816,0.0183764,0.0100021,74.9996
0.616,471.682,346.337,53.7117,0.0185521,0.0100021,74.9996
0.627,473.921,346.338,53.841,0.0187287,0.0100022,74.9996
0.638,476.16,346.339,53.9694,0.018906,0.0100022,74.9996
0.649,478.399,346.339,54.0971,0.0190843,0.0100023,74.9996
0.66,480.638,346.34,54.224,0.0192633,0.0100023,74.9996
0.671,482.876,346.341,54.3502,0.0194432,0.0100024,74.9996
0.682,485.115,346.342,54.4755,0.0196239,0.0100024,74.9996
0.693,487.354,346.343,54.6001,0.0198054,0.0100025,74.9996
0.704,489.593,346.344,54.7239,0.0199878,0.0100025,74.9995
0.715,491.832,346.345,54.847,0.0201711,0.0100026,74.9995
0.726,494.071,346.346,54.9694,0.0203551,0.0100027,74.9995
0.737,496.31,346.347,55.091,0.02054,0.0100027,74.9995
0.748,498.548,346.348,55.2118,0.0207257,0.0100028,74.9995
0.759,500.787,346.349,55.3319,0.0209123,0.0100028,74.9995
0.77,503.026,346.35,55.4513,0.0210997,0.0100029,74.9995
0.781,505.265,346.351,55.57,0.0212879,0.0100029,74.9995
0.792,507.504,346.352,55.688,0.021477,0.010003,74.9995
0.803,509.743,346.353,55.8052,0.0216669,0.0100031,74.9995
0.814,511.982,346.354,55.9218,0.0218577,0.0100031,74.9995
0.825,514.22,346.355,56.0376,0.0220492,0.0100032,74.9995
0.836,516.459,346.356,56.1528,0.0222417,0.0100032,74.9995
0.847,518.698,346.357,56.2673,0.0224349,0.0100033,74.9995
0.858,520.937,346.358,56.381,0.022629,0.0100034,74.9994
0.869,523.176,346.359,56.4942,0.0228239,0.0100034,74.9994
0.88,525.414,346.36,56.6066,0.0230197,0.0100035,74.9994
0.891,527.653,346.361,56.7184,0.0232163,0.0100035,74.9994
0.902,529.892,346.362,56.8295,0.0234137,0.0100036,74.9994
0.913,532.131,346.363,56.9399,0.023612,0.0100037,74.9994
0.924,534.37,346.365,57.0497,0.0238111,0.0100037,74.9994
0.935,536.608,346.366,57.1589,0.024011,0.0100038,74.9994
0.946,538.847,346.367,57.2674,0.0242118,0.0100039,74.9994
0.957,541.086,346.368,57.3753,0.0244134,0.0100039,74.9994
0.968,543.325,346.369,57.4825,0.0246158,0.010004,74.9994
0.979,545.564,346.37,57.5891,0.0248191,0.0100041,74.9994
0.99,547.802,346.371,57.6951,0.0250232,0.0100041,74.9994
1.001,550.041,346.373,57.8005,0.0252282,0.0100042,74.9994
1.012,552.28,346.374,57.9053,0.0254339,0.0100043,74.9994
1.023,554.519,346.375,58.0094,0.0256406,0.0100043,74.9993
1.034,556.757,346.376,58.113,0.025848,0.0100044,74.9993
1.045,558.996,346.377,58.2159,0.0260563,0.0100045,74.9993
1.056,561.235,346.379,58.3183,0.0262654,0.0100045,74.9993
1.067,563.474,346.38,58.42,0.0264754,0.0100046,74.9993
1.078,565.712,346.381,58.5212,0.0266862,0.0100047,74.9993
1.089,567.951,346.382,58.6218,0.0268978,0.0100048,74.9993
1.1,570.19,346.384,58.7218,0.0271103,0.0100048,74.9993
1.111,572.429,346.385,58.8213,0.0273236,0.0100049,74.9993
1.122,574.667,346.386,58.9201,0.0275377,0.010005,74.9993
1.133,576.906,346.388,59.0184,0.0277527,0.0100051,74.9993
1.144,579.145,346.389,59.1162,0.0279685,0.0100051,74.9993
1.155,581.384,346.39,59.2134,0.0281852,0.0100052,74.9993
1.166,583.622,346.391,59.31,0.0284027,0.0100053,74.9993
1.177,585.861,346.393,59.4061,0.028621,0.0100054,74.9992
1.188,588.1,346.394,59.5017,0.0288401,0.0100054,74.9992
1.199,590.339,346.396,59.5967,0.0290601,0.0100055,74.9992
1.21,592.577,346.397,59.6912,0.029281,0.0100056,74.9992
1.221,594.816,346.398,59.7851,0.0295026,0.0100057,74.9992
1.232,597.055,346.4,59.8785,0.0297251,0.0100058,74.9992
1.243,599.293,346.401,59.9714,0.0299484,0.0100058,74.9992
1.254,601.532,346.402,60.0638,0.0301726,0.0100059,74.9992
