time,v_perp,v_para,pitch_angle,v_perp_eV,v_para_eV,inval_lat
0.011,351.964,346.3,45.4647,0.0103298,0.01,75
0.022,357.628,346.301,45.9219,0.010665,0.0100001,75
0.033,363.293,346.301,46.3717,0.0110055,0.0100001,75
0.044,368.957,346.302,46.8142,0.0113513,0.0100001,75
0.055,374.621,346.302,47.2495,0.0117025,0.0100001,75
0.066,380.285,346.303,47.6777,0.0120591,0.0100002,74.9999
0.077,385.949,346.304,48.0991,0.012421,0.0100002,74.9999
0.088,391.613,346.304,48.5136,0.0127882,0.0100002,74.9999
0.099,397.277,346.305,48.9215,0.0131608,0.0100003,74.9999
0.11,402.942,346.305,49.3228,0.0135388,0.0100003,74.9999
0.121,408.606,346.306,49.7177,0.0139221,0.0100004,74.9999
0.132,414.27,346.307,50.1062,0.0143107,0.0100004,74.9999
0.143,419.934,346.307,50.4886,0.0147047,0.0100004,74.9999
0.154,425.598,346.308,50.8648,0.0151041,0.0100005,74.9999
0.165,431.262,346.309,51.2351,0.0155088,0.0100005,74.9999
0.176,436.926,346.31,51.5995,0.0159188,0.0100006,74.9999
0.187,442.59,346.31,51.9581,0.0163342,0.0100006,74.9999
0.198,448.254,346.311,52.3111,0.016755,0.0100006,74.9999
0.209,453.918,346.312,52.6586,0.0171811,0.0100007,74.9999
0.22,459.582,346.313,53.0006,0.0176125,0.0100007,74.9998
0.231,465.246,346.314,53.3373,0.0180493,0.0100008,74.9998
0.242,470.911,346.314,53.6687,0.0184915,0.0100008,74.9998
0.253,476.575,346.315,53.995,0.018939,0.0100009,74.9998
0.264,482.239,346.316,54.3163,0.0193918,0.0100009,74.9998
0.275,487.903,346.317,54.6326,0.01985,0.010001,74.9998
0.286,493.567,346.318,54.944,0.0203136,0.010001,74.9998
0.297,499.231,346.319,55.2507,0.0207825,0.0100011,74.9998
0.308,504.895,346.32,55.5528,0.0212567,0.0100012,74.9998
0.319,510.559,346.321,55.8503,0.0217363,0.0100012,74.9998
0.33,516.223,346.322,56.1432,0.0222213,0.0100013,74.9998
0.341,521.887,346.323,56.4318,0.0227116,0.0100013,74.9998
0.352,527.55,346.324,56.7161,0.0232072,0.0100014,74.9998
0.363,533.214,346.325,56.9961,0.0237082,0.0100015,74.9998
0.374,538.878,346.326,57.272,0.0242146,0.0100015,74.9998
0.385,544.542,346.328,57.5437,0.0247263,0.0100016,74.9997
0.396,550.206,346.329,57.8115,0.0252433,0.0100017,74.9997
0.407,555.87,346.33,58.0754,0.0257657,0.0100017,74.9997
0.418,561.534,346.331,58.3354,0.0262934,0.0100018,74.9997
0.429,567.198,346.332,58.5917,0.0268265,0.0100019,74.9997
0.44,572.862,346.334,58.8442,0.027365,0.0100019,74.9997
0.451,578.526,346.335,59.0931,0.0279088,0.010002,74.9997
0.462,584.19,346.336,59.3385,0.0284579,0.0100021,74.9997
0.473,589.854,346.338,59.5803,0.0290124,0.0100022,74.9997
0.484,595.517,346.339,59.8187,0.0295722,0.0100023,74.9997
0.495,601.181,346.34,60.0538,0.0301374,0.0100023,74.9997
0.506,606.845,346.342,60.2855,0.030708,0.0100024,74.9997
0.517,612.509,346.343,60.514,0.0312838,0.0100025,74.9997
0.528,618.173,346.345,60.7393,0.0318651,0.0100026,74.9997
0.539,623.837,346.346,60.9615,0.0324517,0.0100027,74.9996
0.55,629.5,346.348,61.1806,0.0330436,0.0100028,74.9996
0.561,635.164,346.349,61.3968,0.0336409,0.0100029,74.9996
0.572,640.828,346.351,61.6099,0.0342435,0.0100029,74.9996
0.583,646.492,346.353,61.8202,0.0348515,0.010003,74.9996
0.594,652.156,346.354,62.0276,0.0354648,0.0100031,74.9996
0.605,657.819,346.356,62.2322,0.0360835,0.0100032,74.9996
0.616,663.483,346.358,62.4341,0.0367075,0.0100033,74.9996
0.627,669.147,346.359,62.6333,0.0373369,0.0100034,74.9996
0.638,674.811,346.361,62.8299,0.0379716,0.0100035,74.9996
0.649,680.475,346.363,63.0238,0.0386117,0.0100036,74.9996
0.66,686.138,346.365,63.2152,0.0392571,0.0100037,74.9996
0.671,691.802,346.367,63.4041,0.0399079,0.0100038,74.9996
0.682,697.466,346.368,63.5905,0.040564,0.010004,74.9996
0.693,703.129,346.37,63.7746,0.0412255,0.0100041,74.9996
0.704,708.793,346.372,63.9562,0.0418923,0.0100042,74.9995
0.715,714.457,346.374,64.1355,0.0425645,0.0100043,74.9995
0.726,720.121,346.376,64.3126,0.043242,0.0100044,74.9995
