time,v_perp,v_para,pitch_angle,v_perp_eV,v_para_eV
269.621,4610.93,60489.3,4.35907,1.69854,292.319
269.632,4610.31,60489.4,4.35848,1.69808,292.319
269.643,4609.68,60489.4,4.35788,1.69762,292.319
269.654,4609.06,60489.5,4.35729,1.69716,292.32
269.665,4608.44,60489.5,4.3567,1.6967,292.32
269.676,4607.81,60489.6,4.35611,1.69624,292.321
269.687,4607.19,60489.6,4.35552,1.69578,292.321
269.698,4606.57,60489.7,4.35493,1.69533,292.322
269.709,4605.94,60489.7,4.35434,1.69487,292.322
269.72,4605.32,60489.8,4.35375,1.69441,292.323
269.731,4604.69,60489.8,4.35316,1.69395,292.323
269.742,4604.07,60489.9,4.35257,1.69349,292.324
269.753,4603.45,60489.9,4.35198,1.69303,292.324
269.764,4602.83,60490,4.35139,1.69257,292.325
269.775,4602.2,60490,4.3508,1.69212,292.325
269.786,4601.58,60490.1,4.35021,1.69166,292.325
269.797,4600.96,60490.1,4.34962,1.6912,292.326
269.808,4600.33,60490.2,4.34903,1.69074,292.326
269.819,4599.71,60490.2,4.34844,1.69028,292.327
269.83,4599.09,60490.2,4.34785,1.68983,292.327
269.841,4598.47,60490.3,4.34726,1.68937,292.328
269.852,4597.84,60490.3,4.34667,1.68891,292.328
269.863,4597.22,60490.4,4.34608,1.68845,292.329
269.874,4596.6,60490.4,4.34549,1.688,292.329
269.885,4595.98,60490.5,4.3449,1.68754,292.33
269.896,4595.35,60490.5,4.34431,1.68708,292.33
269.907,4594.73,60490.6,4.34372,1.68663,292.33
269.918,4594.11,60490.6,4.34313,1.68617,292.331
269.929,4593.49,60490.7,4.34254,1.68571,292.331
269.94,4592.87,60490.7,4.34195,1.68526,292.332
269.951,4592.24,60490.8,4.34136,1.6848,292.332
269.962,4591.62,60490.8,4.34078,1.68434,292.333
269.973,4591,60490.9,4.34019,1.68389,292.333
269.984,4590.38,60490.9,4.3396,1.68343,292.334
269.995,4589.76,60491,4.33901,1.68298,292.334
270.006,4589.14,60491,4.33842,1.68252,292.335
270.017,4588.52,60491,4.33783,1.68207,292.335
270.028,4587.89,60491.1,4.33724,1.68161,292.336
270.039,4587.27,60491.1,4.33666,1.68116,292.336
270.05,4586.65,60491.2,4.33607,1.6807,292.336
270.061,4586.03,60491.2,4.33548,1.68025,292.337
270.072,4585.41,60491.3,4.33489,1.67979,292.337
270.083,4584.79,60491.3,4.3343,1.67934,292.338
270.094,4584.17,60491.4,4.33372,1.67888,292.338
270.105,4583.55,60491.4,4.33313,1.67843,292.339
270.116,4582.93,60491.5,4.33254,1.67797,292.339
270.127,4582.31,60491.5,4.33195,1.67752,292.34
270.138,4581.69,60491.6,4.33137,1.67706,292.34
270.149,4581.07,60491.6,4.33078,1.67661,292.341
270.16,4580.45,60491.7,4.33019,1.67616,292.341
270.171,4579.83,60491.7,4.3296,1.6757,292.341
270.182,4579.21,60491.8,4.32902,1.67525,292.342
270.193,4578.59,60491.8,4.32843,1.67479,292.342
270.204,4577.97,60491.8,4.32784,1.67434,292.343
270.215,4577.35,60491.9,4.32725,1.67389,292.343
270.226,4576.73,60491.9,4.32667,1.67343,292.344
270.237,4576.11,60492,4.32608,1.67298,292.344
270.248,4575.49,60492,4.32549,1.67253,292.345
270.259,4574.87,60492.1,4.32491,1.67208,292.345
270.27,4574.25,60492.1,4.32432,1.67162,292.345
270.281,4573.63,60492.2,4.32373,1.67117,292.346
270.292,4573.01,60492.2,4.32315,1.67072,292.346
270.303,4572.39,60492.3,4.32256,1.67027,292.347
270.314,4571.77,60492.3,4.32198,1.66981,292.347
270.325,4571.15,60492.4,4.32139,1.66936,292.348
270.336,4570.54,60492.4,4.3208,1.66891,292.348
270.347,4569.92,60492.5,4.32022,1.66846,292.349
270.358,4569.3,60492.5,4.31963,1.66801,292.349
270.369,4568.68,60492.5,4.31905,1.66755,292.35
270.38,4568.06,60492.6,4.31846,1.6671,292.35
270.391,4567.44,60492.6,4.31787,1.66665,292.35
270.402,4566.82,60492.7,4.31729,1.6662,292.351
270.413,4566.21,60492.7,4.3167,1.66575,292.351
270.424,4565.59,60492.8,4.31612,1.6653,292.352
270.435,4564.97,60492.8,4.31553,1.66485,292.352
270.446,4564.35,60492.9,4.31495,1.6644,292.353
270.457,4563.73,60492.9,4.31436,1.66395,292.353
270.468,4563.12,60493,4.31378,1.6635,292.354
270.479,4562.5,60493,4.31319,1.66305,292.354
270.49,4561.88,60493.1,4.31261,1.6626,292.355
270.501,4561.26,60493.1,4.31202,1.66215,292.355
270.512,4560.65,60493.2,4.31144,1.6617,292.355
270.523,4560.03,60493.2,4.31085,1.66125,292.356
270.534,4559.41,60493.2,4.31027,1.6608,292.356
270.545,4558.79,60493.3,4.30968,1.66035,292.357
270.556,4558.18,60493.3,4.3091,1.6599,292.357
270.567,4557.56,60493.4,4.30851,1.65945,292.358
270.578,4556.94,60493.4,4.30793,1.659,292.358
270.589,4556.33,60493.5,4.30734,1.65855,292.359
270.6,4555.71,60493.5,4.30676,1.6581,292.359
270.611,4555.09,60493.6,4.30618,1.65765,292.359
270.622,4554.48,60493.6,4.30559,1.6572,292.36
270.633,4553.86,60493.7,4.30501,1.65675,292.36
270.644,4553.24,60493.7,4.30442,1.6563,292.361
270.655,4552.63,60493.8,4.30384,1.65586,292.361
270.666,4552.01,60493.8,4.30326,1.65541,292.362
270.677,4551.39,60493.9,4.30267,1.65496,292.362
270.688,4550.78,60493.9,4.30209,1.65451,292.363
