time,v_perp,v_para,pitch_angle,v_perp_eV,v_para_eV
0.011,1187.54,1118.8,46.7073,0.112667,0.100001
0.022,1256.29,1118.8,48.313,0.126089,0.100001
0.033,1325.04,1118.81,49.8236,0.140267,0.100002
0.044,1393.78,1118.81,51.2455,0.155199,0.100003
0.055,1462.53,1118.81,52.5845,0.170887,0.100003
0.066,1531.28,1118.82,53.8464,0.187329,0.100004
0.077,1600.02,1118.82,55.0366,0.204527,0.100005
0.088,1668.77,1118.83,56.16,0.22248,0.100006
0.099,1737.51,1118.84,57.2213,0.241188,0.100007
0.11,1806.26,1118.84,58.2248,0.260651,0.100009
0.121,1875,1118.85,59.1746,0.280869,0.10001
0.132,1943.75,1118.86,60.0744,0.301842,0.100012
0.143,2012.49,1118.87,60.9276,0.32357,0.100013
0.154,2081.24,1118.88,61.7374,0.346053,0.100015
0.165,2149.98,1118.89,62.5068,0.369291,0.100017
0.176,2218.73,1118.9,63.2383,0.393285,0.100018
0.187,2287.47,1118.91,63.9346,0.418033,0.100021
0.198,2356.22,1118.92,64.5979,0.443536,0.100023
0.209,2424.96,1118.93,65.2303,0.469795,0.100025
0.22,2493.7,1118.95,65.8338,0.496808,0.100027
0.231,2562.45,1118.96,66.4102,0.524577,0.10003
0.242,2631.19,1118.98,66.9612,0.5531,0.100033
0.253,2699.94,1118.99,67.4883,0.582379,0.100035
0.264,2768.68,1119.01,67.993,0.612412,0.100038
0.275,2837.42,1119.03,68.4766,0.643201,0.100042
0.286,2906.16,1119.05,68.9403,0.674744,0.100045
0.297,2974.91,1119.07,69.3853,0.707042,0.100048
0.308,3043.65,1119.09,69.8126,0.740096,0.100052
0.319,3112.39,1119.11,70.2232,0.773904,0.100056
0.33,3181.13,1119.13,70.618,0.808467,0.10006
0.341,3249.88,1119.15,70.9979,0.843786,0.100064
0.352,3318.62,1119.18,71.3637,0.879859,0.100068
0.363,3387.36,1119.2,71.7162,0.916687,0.100073
0.374,3456.1,1119.23,72.0559,0.95427,0.100077
0.385,3524.84,1119.26,72.3836,0.992608,0.100082
0.396,3593.58,1119.28,72.6999,1.0317,0.100087
0.407,3662.32,1119.31,73.0053,1.07155,0.100093
0.418,3731.06,1119.34,73.3004,1.11215,0.100098
0.429,3799.81,1119.38,73.5857,1.15351,0.100104
0.44,3868.55,1119.41,73.8616,1.19562,0.10011
0.451,3937.29,1119.44,74.1286,1.23849,0.100116
0.462,4006.03,1119.48,74.3871,1.28211,0.100122
0.473,4074.77,1119.51,74.6374,1.32649,0.100129
0.484,4143.51,1119.55,74.88,1.37162,0.100135
0.495,4212.24,1119.59,75.1153,1.41751,0.100142
0.506,4280.98,1119.63,75.3434,1.46415,0.10015
0.517,4349.72,1119.67,75.5647,1.51155,0.100157
0.528,4418.46,1119.72,75.7796,1.5597,0.100165
0.539,4487.2,1119.76,75.9883,1.60861,0.100173
0.55,4555.94,1119.81,76.191,1.65827,0.100181
0.561,4624.68,1119.85,76.388,1.70868,0.100189
0.572,4693.42,1119.9,76.5795,1.75986,0.100198
0.583,4762.15,1119.95,76.7658,1.81178,0.100207
0.594,4830.89,1120,76.947,1.86446,0.100216
0.605,4899.63,1120.06,77.1234,1.9179,0.100226
0.616,4968.37,1120.11,77.2952,1.97209,0.100235
0.627,5037.11,1120.17,77.4624,2.02703,0.100245
0.638,5105.84,1120.22,77.6253,2.08273,0.100256
0.649,5174.58,1120.28,77.7841,2.13919,0.100266
0.66,5243.32,1120.34,77.9389,2.1964,0.100277
0.671,5312.05,1120.41,78.0899,2.25436,0.100288
0.682,5380.79,1120.47,78.2371,2.31308,0.1003
0.693,5449.53,1120.54,78.3807,2.37255,0.100312
0.704,5518.26,1120.6,78.5209,2.43278,0.100324
0.715,5587,1120.67,78.6578,2.49377,0.100336
0.726,5655.74,1120.74,78.7914,2.55551,0.100349
0.737,5724.47,1120.82,78.922,2.618,0.100362
0.748,5793.21,1120.89,79.0495,2.68125,0.100375
0.759,5861.94,1120.97,79.1742,2.74525,0.100388
0.77,5930.68,1121.04,79.296,2.81001,0.100402
0.781,5999.41,1121.12,79.4151,2.87552,0.100417
0.792,6068.15,1121.21,79.5316,2.94178,0.100431
0.803,6136.88,1121.29,79.6455,3.00881,0.100446
0.814,6205.62,1121.37,79.757,3.07658,0.100461
0.825,6274.35,1121.46,79.8661,3.14511,0.100477
0.836,6343.08,1121.55,79.9729,3.2144,0.100493
0.847,6411.82,1121.64,80.0775,3.28444,0.100509
0.858,6480.55,1121.73,80.1798,3.35523,0.100526
0.869,6549.29,1121.83,80.2801,3.42678,0.100543
0.88,6618.02,1121.93,80.3784,3.49909,0.10056
0.891,6686.75,1122.03,80.4746,3.57215,0.100578
0.902,6755.49,1122.13,80.5689,3.64596,0.100596
0.913,6824.22,1122.23,80.6614,3.72053,0.100615
0.924,6892.95,1122.33,80.7521,3.79585,0.100634
0.935,6961.68,1122.44,80.8409,3.87193,0.100653
0.946,7030.42,1122.55,80.9281,3.94876,0.100673
0.957,7099.15,1122.66,81.0136,4.02635,0.100693
0.968,7167.88,1122.78,81.0975,4.10469,0.100713
0.979,7236.61,1122.89,81.1798,4.18378,0.100734
0.99,7305.34,1123.01,81.2606,4.26364,0.100755
1.001,7374.08,1123.13,81.3399,4.34424,0.100777
1.012,7442.81,1123.26,81.4178,4.4256,0.100799
1.023,7511.54,1123.38,81.4942,4.50772,0.100821
1.034,7580.27,1123.51,81.5693,4.59058,0.100844
1.045,7649,1123.64,81.643,4.67421,0.100867
1.056,7717.73,1123.77,81.7155,4.75859,0.100891
1.067,7786.46,1123.9,81.7866,4.84372,0.100915
1.078,7855.19,1124.04,81.8565,4.92961,0.10094
1.089,7923.92,1124.18,81.9252,5.01625,0.100965
1.1,7992.65,1124.32,81.9928,5.10365,0.10099
1.111,8061.38,1124.47,82.0592,5.1918,0.101016
1.122,8130.11,1124.61,82.1244,5.2807,0.101043
1.133,8198.84,1124.76,82.1886,5.37036,0.101069
1.144,8267.57,1124.91,82.2517,5.46078,0.101097
1.155,8336.3,1125.07,82.3138,5.55195,0.101124
1.166,8405.03,1125.22,82.3749,5.64387,0.101153
1.177,8473.76,1125.38,82.4349,5.73655,0.101181
1.188,8542.49,1125.55,82.494,5.82998,0.10121
1.199,8611.21,1125.71,82.5522,5.92417,0.10124
1.21,8679.94,1125.88,82.6094,6.01911,0.10127
1.221,8748.67,1126.05,82.6657,6.11481,0.101301
1.232,8817.4,1126.22,82.7212,6.21126,0.101332
1.243,8886.13,1126.4,82.7758,6.30846,0.101363
1.254,8954.85,1126.57,82.8295,6.40642,0.101395
1.265,9023.58,1126.76,82.8824,6.50514,0.101428
