time,v_perp,v_para,pitch_angle,v_perp_eV,v_para_eV,inval_lat
0.011,349.593,346.3,45.2711,0.0101911,0.01,75
0.022,352.886,346.301,45.5396,0.010384,0.0100001,75
0.033,356.179,346.301,45.8056,0.0105787,0.0100001,75
0.044,359.472,346.302,46.069,0.0107752,0.0100001,75
0.055,362.765,346.302,46.33,0.0109735,0.0100001,75
0.066,366.058,346.303,46.5885,0.0111736,0.0100002,74.9999
0.077,369.35,346.303,46.8445,0.0113756,0.0100002,74.9999
0.088,372.643,346.304,47.0982,0.0115793,0.0100002,74.9999
0.099,375.936,346.305,47.3494,0.0117848,0.0100003,74.9999
0.11,379.229,346.305,47.5982,0.0119922,0.0100003,74.9999
0.121,382.522,346.306,47.8448,0.0122014,0.0100003,74.9999
0.132,385.815,346.306,48.089,0.0124123,0.0100004,74.9999
0.143,389.108,346.307,48.3308,0.0126251,0.0100004,74.9999
0.154,392.401,346.307,48.5705,0.0128397,0.0100004,74.9999
0.165,395.694,346.308,48.8078,0.0130561,0.0100005,74.9999
0.176,398.986,346.309,49.043,0.0132743,0.0100005,74.9999
0.187,402.279,346.309,49.2759,0.0134943,0.0100005,74.9999
0.198,405.572,346.31,49.5067,0.0137161,0.0100006,74.9999
0.209,408.865,346.311,49.7353,0.0139398,0.0100006,74.9999
0.22,412.158,346.311,49.9617,0.0141652,0.0100007,74.9998
0.231,415.451,346.312,50.1861,0.0143924,0.0100007,74.9998
0.242,418.744,346.313,50.4083,0.0146215,0.0100007,74.9998
0.253,422.036,346.313,50.6285,0.0148523,0.0100008,74.9998
0.264,425.329,346.314,50.8466,0.015085,0.0100008,74.9998
0.275,428.622,346.315,51.0628,0.0153195,0.0100009,74.9998
0.286,431.915,346.315,51.2769,0.0155558,0.0100009,74.9998
0.297,435.208,346.316,51.489,0.0157939,0.0100009,74.9998
0.308,438.501,346.317,51.6992,0.0160338,0.010001,74.9998
0.319,441.793,346.318,51.9074,0.0162755,0.010001,74.9998
0.33,445.086,346.318,52.1138,0.016519,0.0100011,74.9998
0.341,448.379,346.319,52.3182,0.0167643,0.0100011,74.9998
0.352,451.672,346.32,52.5208,0.0170114,0.0100012,74.9998
0.363,454.965,346.321,52.7215,0.0172604,0.0100012,74.9998
0.374,458.257,346.322,52.9204,0.0175111,0.0100013,74.9998
0.385,461.55,346.322,53.1174,0.0177637,0.0100013,74.9997
0.396,464.843,346.323,53.3127,0.0180181,0.0100013,74.9997
0.407,468.136,346.324,53.5062,0.0182742,0.0100014,74.9997
0.418,471.429,346.325,53.6979,0.0185322,0.0100014,74.9997
0.429,474.721,346.326,53.8879,0.018792,0.0100015,74.9997
0.44,478.014,346.327,54.0762,0.0190536,0.0100015,74.9997
0.451,481.307,346.328,54.2628,0.019317,0.0100016,74.9997
0.462,484.6,346.329,54.4478,0.0195822,0.0100017,74.9997
0.473,487.892,346.329,54.631,0.0198492,0.0100017,74.9997
0.484,491.185,346.33,54.8127,0.020118,0.0100018,74.9997
0.495,494.478,346.331,54.9927,0.0203887,0.0100018,74.9997
0.506,497.771,346.332,55.1711,0.0206611,0.0100019,74.9997
0.517,501.063,346.333,55.3479,0.0209354,0.0100019,74.9997
0.528,504.356,346.334,55.5232,0.0212114,0.010002,74.9997
0.539,507.649,346.335,55.6969,0.0214893,0.010002,74.9996
0.55,510.942,346.336,55.869,0.021769,0.0100021,74.9996
0.561,514.234,346.337,56.0397,0.0220504,0.0100022,74.9996
0.572,517.527,346.338,56.2089,0.0223337,0.0100022,74.9996
0.583,520.82,346.339,56.3765,0.0226188,0.0100023,74.9996
0.594,524.112,346.34,56.5427,0.0229057,0.0100023,74.9996
0.605,527.405,346.342,56.7075,0.0231944,0.0100024,74.9996
0.616,530.698,346.343,56.8708,0.023485,0.0100025,74.9996
0.627,533.991,346.344,57.0327,0.0237773,0.0100025,74.9996
0.638,537.283,346.345,57.1933,0.0240714,0.0100026,74.9996
0.649,540.576,346.346,57.3524,0.0243674,0.0100027,74.9996
0.66,543.869,346.347,57.5101,0.0246651,0.0100027,74.9996
0.671,547.161,346.348,57.6665,0.0249647,0.0100028,74.9996
0.682,550.454,346.35,57.8216,0.025266,0.0100029,74.9996
