time,v_perp,v_para,pitch_angle,v_perp_eV,v_para_eV,inval_lat
73.612,135943,146844,42.7924,1541.02,1798.07,71.1043
73.623,135942,146874,42.7864,1541.01,1798.82,71.1028
73.634,135942,146905,42.7804,1541,1799.57,71.1012
73.645,135942,146936,42.7743,1541,1800.33,71.0996
73.656,135942,146967,42.7683,1540.99,1801.08,71.098
73.667,135941,146997,42.7622,1540.98,1801.83,71.0965
73.678,135941,147028,42.7562,1540.98,1802.59,71.0949
73.689,135941,147059,42.7502,1540.97,1803.34,71.0933
73.7,135940,147090,42.7441,1540.96,1804.09,71.0917
73.711,135940,147120,42.7381,1540.96,1804.85,71.0902
73.722,135940,147151,42.7321,1540.95,1805.6,71.0886
73.733,135939,147182,42.7261,1540.94,1806.35,71.087
73.744,135939,147212,42.7201,1540.93,1807.11,71.0854
73.755,135939,147243,42.714,1540.93,1807.86,71.0838
73.766,135939,147274,42.708,1540.92,1808.62,71.0823
73.777,135938,147304,42.702,1540.91,1809.37,71.0807
73.788,135938,147335,42.696,1540.91,1810.12,71.0791
73.799,135938,147366,42.69,1540.9,1810.88,71.0775
73.81,135937,147397,42.684,1540.89,1811.63,71.0759
73.821,135937,147427,42.678,1540.88,1812.38,71.0744
73.832,135937,147458,42.672,1540.88,1813.14,71.0728
73.843,135936,147488,42.666,1540.87,1813.89,71.0712
73.854,135936,147519,42.66,1540.86,1814.65,71.0696
73.865,135936,147550,42.654,1540.86,1815.4,71.068
73.876,135935,147580,42.648,1540.85,1816.15,71.0665
73.887,135935,147611,42.642,1540.84,1816.91,71.0649
73.898,135935,147642,42.636,1540.83,1817.66,71.0633
73.909,135934,147672,42.63,1540.83,1818.42,71.0617
73.92,135934,147703,42.624,1540.82,1819.17,71.0601
73.931,135934,147734,42.618,1540.81,1819.92,71.0586
73.942,135933,147764,42.612,1540.8,1820.68,71.057
73.953,135933,147795,42.606,1540.8,1821.43,71.0554
73.964,135933,147825,42.6001,1540.79,1822.19,71.0538
73.975,135932,147856,42.5941,1540.78,1822.94,71.0522
73.986,135932,147887,42.5881,1540.77,1823.7,71.0507
73.997,135932,147917,42.5821,1540.76,1824.45,71.0491
74.008,135931,147948,42.5762,1540.76,1825.2,71.0475
74.019,135931,147978,42.5702,1540.75,1825.96,71.0459
