time,v_perp,v_para,pitch_angle,v_perp_eV,v_para_eV,inval_lat
0.011,350.515,346.3,45.3465,0.0102449,0.01,75
0.022,354.73,346.301,45.6889,0.0104928,0.0100001,75
0.033,358.945,346.301,46.0271,0.0107436,0.0100001,75
0.044,363.16,346.302,46.3612,0.0109974,0.0100001,75
0.055,367.375,346.302,46.6913,0.0112542,0.0100001,75
0.066,371.59,346.303,47.0174,0.0115139,0.0100002,74.9999
0.077,375.806,346.304,47.3395,0.0117766,0.0100002,74.9999
0.088,380.021,346.304,47.6578,0.0120423,0.0100002,74.9999
0.099,384.236,346.305,47.9722,0.0123109,0.0100003,74.9999
0.11,388.451,346.305,48.2829,0.0125825,0.0100003,74.9999
0.121,392.666,346.306,48.5898,0.012857,0.0100003,74.9999
0.132,396.881,346.306,48.893,0.0131345,0.0100004,74.9999
0.143,401.096,346.307,49.1926,0.013415,0.0100004,74.9999
0.154,405.311,346.308,49.4886,0.0136985,0.0100004,74.9999
0.165,409.526,346.308,49.7811,0.0139848,0.0100005,74.9999
0.176,413.741,346.309,50.07,0.0142742,0.0100005,74.9999
0.187,417.956,346.31,50.3555,0.0145665,0.0100006,74.9999
0.198,422.171,346.31,50.6377,0.0148618,0.0100006,74.9999
0.209,426.386,346.311,50.9165,0.0151601,0.0100006,74.9999
0.22,430.601,346.312,51.1919,0.0154613,0.0100007,74.9998
0.231,434.816,346.313,51.4641,0.0157654,0.0100007,74.9998
0.242,439.031,346.313,51.7332,0.0160726,0.0100008,74.9998
0.253,443.246,346.314,51.999,0.0163827,0.0100008,74.9998
0.264,447.461,346.315,52.2617,0.0166957,0.0100009,74.9998
0.275,451.676,346.316,52.5214,0.0170117,0.0100009,74.9998
0.286,455.891,346.316,52.778,0.0173307,0.010001,74.9998
0.297,460.106,346.317,53.0316,0.0176527,0.010001,74.9998
0.308,464.321,346.318,53.2822,0.0179776,0.010001,74.9998
0.319,468.535,346.319,53.53,0.0183054,0.0100011,74.9998
0.33,472.75,346.32,53.7748,0.0186363,0.0100011,74.9998
0.341,476.965,346.321,54.0169,0.0189701,0.0100012,74.9998
0.352,481.18,346.322,54.2562,0.0193068,0.0100012,74.9998
0.363,485.395,346.322,54.4927,0.0196465,0.0100013,74.9998
0.374,489.61,346.323,54.7265,0.0199892,0.0100014,74.9998
0.385,493.825,346.324,54.9576,0.0203349,0.0100014,74.9997
0.396,498.04,346.325,55.1861,0.0206835,0.0100015,74.9997
0.407,502.255,346.326,55.4121,0.021035,0.0100015,74.9997
0.418,506.47,346.327,55.6354,0.0213896,0.0100016,74.9997
0.429,510.685,346.328,55.8563,0.0217471,0.0100016,74.9997
0.44,514.899,346.329,56.0746,0.0221075,0.0100017,74.9997
0.451,519.114,346.33,56.2905,0.0224709,0.0100018,74.9997
0.462,523.329,346.331,56.504,0.0228373,0.0100018,74.9997
0.473,527.544,346.332,56.7151,0.0232067,0.0100019,74.9997
0.484,531.759,346.334,56.9239,0.023579,0.0100019,74.9997
0.495,535.974,346.335,57.1303,0.0239542,0.010002,74.9997
0.506,540.189,346.336,57.3345,0.0243324,0.0100021,74.9997
0.517,544.403,346.337,57.5364,0.0247136,0.0100021,74.9997
0.528,548.618,346.338,57.7361,0.0250978,0.0100022,74.9997
0.539,552.833,346.339,57.9336,0.0254849,0.0100023,74.9996
0.55,557.048,346.341,58.129,0.025875,0.0100023,74.9996
0.561,561.263,346.342,58.3223,0.026268,0.0100024,74.9996
0.572,565.477,346.343,58.5134,0.026664,0.0100025,74.9996
0.583,569.692,346.344,58.7025,0.027063,0.0100026,74.9996
0.594,573.907,346.346,58.8896,0.0274649,0.0100026,74.9996
0.605,578.122,346.347,59.0746,0.0278698,0.0100027,74.9996
0.616,582.337,346.348,59.2577,0.0282777,0.0100028,74.9996
0.627,586.551,346.349,59.4388,0.0286885,0.0100029,74.9996
0.638,590.766,346.351,59.618,0.0291022,0.0100029,74.9996
0.649,594.981,346.352,59.7953,0.029519,0.010003,74.9996
0.66,599.196,346.354,59.9708,0.0299387,0.0100031,74.9996
0.671,603.41,346.355,60.1444,0.0303613,0.0100032,74.9996
0.682,607.625,346.356,60.3161,0.030787,0.0100033,74.9996
0.693,611.84,346.358,60.4861,0.0312155,0.0100033,74.9996
0.704,616.055,346.359,60.6544,0.0316471,0.0100034,74.9995
0.715,620.269,346.361,60.8208,0.0320816,0.0100035,74.9995
0.726,624.484,346.362,60.9856,0.0325191,0.0100036,74.9995
0.737,628.699,346.364,61.1487,0.0329595,0.0100037,74.9995
0.748,632.914,346.365,61.3101,0.0334029,0.0100038,74.9995
