time,v_perp,v_para,pitch_angle,v_perp_eV,v_para_eV,inval_lat
0.011,352.886,346.3,45.5397,0.010384,0.01,75
0.022,359.473,346.301,46.0692,0.0107752,0.0100001,75
0.033,366.059,346.301,46.5887,0.0111737,0.0100001,75
0.044,372.645,346.302,47.0985,0.0115794,0.0100001,75
0.055,379.232,346.303,47.5986,0.0119923,0.0100001,75
0.066,385.818,346.303,48.0894,0.0124125,0.0100002,74.9999
0.077,392.404,346.304,48.571,0.0128399,0.0100002,74.9999
0.088,398.991,346.304,49.0436,0.0132746,0.0100003,74.9999
0.099,405.577,346.305,49.5074,0.0137164,0.0100003,74.9999
0.11,412.163,346.306,49.9625,0.0141655,0.0100003,74.9999
0.121,418.749,346.306,50.4092,0.0146219,0.0100004,74.9999
0.132,425.336,346.307,50.8476,0.0150855,0.0100004,74.9999
0.143,431.922,346.308,51.2779,0.0155563,0.0100004,74.9999
0.154,438.508,346.308,51.7004,0.0160343,0.0100005,74.9999
0.165,445.094,346.309,52.115,0.0165196,0.0100005,74.9999
0.176,451.681,346.31,52.5221,0.0170121,0.0100006,74.9999
0.187,458.267,346.311,52.9218,0.0175118,0.0100006,74.9999
0.198,464.853,346.312,53.3142,0.0180188,0.0100007,74.9999
0.209,471.439,346.312,53.6995,0.018533,0.0100007,74.9999
0.22,478.025,346.313,54.0779,0.0190545,0.0100008,74.9998
0.231,484.611,346.314,54.4495,0.0195832,0.0100008,74.9998
0.242,491.198,346.315,54.8145,0.0201191,0.0100009,74.9998
0.253,497.784,346.316,55.173,0.0206622,0.0100009,74.9998
0.264,504.37,346.317,55.5252,0.0212126,0.010001,74.9998
0.275,510.956,346.318,55.8712,0.0217702,0.010001,74.9998
0.286,517.542,346.319,56.2111,0.022335,0.0100011,74.9998
0.297,524.128,346.32,56.5451,0.0229071,0.0100012,74.9998
0.308,530.714,346.321,56.8733,0.0234864,0.0100012,74.9998
0.319,537.301,346.322,57.1958,0.024073,0.0100013,74.9998
0.33,543.887,346.324,57.5128,0.0246668,0.0100014,74.9998
0.341,550.473,346.325,57.8243,0.0252678,0.0100014,74.9998
0.352,557.059,346.326,58.1306,0.025876,0.0100015,74.9998
0.363,563.645,346.327,58.4317,0.0264915,0.0100016,74.9998
0.374,570.231,346.328,58.7277,0.0271142,0.0100016,74.9998
0.385,576.817,346.33,59.0188,0.0277441,0.0100017,74.9997
0.396,583.403,346.331,59.305,0.0283813,0.0100018,74.9997
0.407,589.989,346.332,59.5864,0.0290257,0.0100019,74.9997
0.418,596.575,346.334,59.8633,0.0296774,0.010002,74.9997
0.429,603.161,346.335,60.1356,0.0303362,0.010002,74.9997
0.44,609.747,346.337,60.4034,0.0310024,0.0100021,74.9997
0.451,616.333,346.338,60.6669,0.0316757,0.0100022,74.9997
0.462,622.919,346.34,60.9262,0.0323563,0.0100023,74.9997
0.473,629.505,346.341,61.1813,0.0330441,0.0100024,74.9997
0.484,636.091,346.343,61.4323,0.0337391,0.0100025,74.9997
0.495,642.677,346.344,61.6794,0.0344414,0.0100026,74.9997
0.506,649.263,346.346,61.9225,0.0351509,0.0100027,74.9997
0.517,655.849,346.348,62.1619,0.0358676,0.0100027,74.9997
0.528,662.435,346.349,62.3975,0.0365916,0.0100028,74.9997
0.539,669.021,346.351,62.6295,0.0373228,0.0100029,74.9996
0.55,675.607,346.353,62.8579,0.0380612,0.010003,74.9996
0.561,682.193,346.355,63.0827,0.0388069,0.0100032,74.9996
0.572,688.778,346.356,63.3042,0.0395598,0.0100033,74.9996
0.583,695.364,346.358,63.5223,0.04032,0.0100034,74.9996
0.594,701.95,346.36,63.7371,0.0410873,0.0100035,74.9996
0.605,708.536,346.362,63.9487,0.0418619,0.0100036,74.9996
0.616,715.122,346.364,64.1571,0.0426438,0.0100037,74.9996
0.627,721.708,346.366,64.3625,0.0434328,0.0100038,74.9996
0.638,728.294,346.368,64.5648,0.0442291,0.0100039,74.9996
0.649,734.88,346.37,64.7641,0.0450326,0.0100041,74.9996
0.66,741.465,346.372,64.9606,0.0458434,0.0100042,74.9996
0.671,748.051,346.375,65.1542,0.0466614,0.0100043,74.9996
0.682,754.637,346.377,65.345,0.0474866,0.0100044,74.9996
0.693,761.223,346.379,65.5331,0.0483191,0.0100046,74.9996
0.704,767.809,346.381,65.7184,0.0491588,0.0100047,74.9995
0.715,774.394,346.384,65.9012,0.0500057,0.0100048,74.9995
0.726,780.98,346.386,66.0814,0.0508599,0.010005,74.9995
0.737,787.566,346.388,66.2591,0.0517212,0.0100051,74.9995
0.748,794.152,346.391,66.4343,0.0525899,0.0100052,74.9995
0.759,800.737,346.393,66.607,0.0534657,0.0100054,74.9995
0.77,807.323,346.396,66.7774,0.0543488,0.0100055,74.9995
0.781,813.909,346.398,66.9455,0.0552391,0.0100057,74.9995
0.792,820.495,346.401,67.1112,0.0561367,0.0100058,74.9995
0.803,827.08,346.404,67.2747,0.0570414,0.010006,74.9995
0.814,833.666,346.406,67.4361,0.0579535,0.0100061,74.9995
0.825,840.252,346.409,67.5952,0.0588727,0.0100063,74.9995
0.836,846.837,346.412,67.7522,0.0597992,0.0100065,74.9995
0.847,853.423,346.415,67.9072,0.0607329,0.0100066,74.9995
0.858,860.009,346.418,68.0601,0.0616738,0.0100068,74.9994
0.869,866.594,346.42,68.211,0.062622,0.010007,74.9994
0.88,873.18,346.423,68.3599,0.0635774,0.0100071,74.9994
0.891,879.766,346.426,68.5069,0.06454,0.0100073,74.9994
0.902,886.351,346.43,68.652,0.0655099,0.0100075,74.9994
0.913,892.937,346.433,68.7952,0.066487,0.0100077,74.9994
0.924,899.523,346.436,68.9367,0.0674713,0.0100078,74.9994
0.935,906.108,346.439,69.0763,0.0684629,0.010008,74.9994
0.946,912.694,346.442,69.2141,0.0694617,0.0100082,74.9994
0.957,919.279,346.445,69.3503,0.0704677,0.0100084,74.9994
0.968,925.865,346.449,69.4847,0.071481,0.0100086,74.9994
0.979,932.45,346.452,69.6174,0.0725014,0.0100088,74.9994
0.99,939.036,346.456,69.7486,0.0735292,0.010009,74.9994
1.001,945.622,346.459,69.8781,0.0745641,0.0100092,74.9994
1.012,952.207,346.463,70.006,0.0756063,0.0100094,74.9994
1.023,958.793,346.466,70.1323,0.0766557,0.0100096,74.9993
1.034,965.378,346.47,70.2572,0.0777124,0.0100098,74.9993
