time,v_perp,v_para,pitch_angle,v_perp_eV,v_para_eV,inval_lat
0.011,351.305,346.3,45.4111,0.0102912,0.01,75
0.022,356.311,346.301,45.8162,0.0105865,0.0100001,75
0.033,361.316,346.301,46.2156,0.0108861,0.0100001,75
0.044,366.322,346.302,46.6092,0.0111898,0.0100001,75
0.055,371.327,346.302,46.9972,0.0114977,0.0100001,75
0.066,376.333,346.303,47.3796,0.0118097,0.0100002,74.9999
0.077,381.338,346.304,47.7566,0.012126,0.0100002,74.9999
0.088,386.344,346.304,48.1281,0.0124464,0.0100002,74.9999
0.099,391.349,346.305,48.4944,0.012771,0.0100003,74.9999
0.11,396.355,346.305,48.8555,0.0130998,0.0100003,74.9999
0.121,401.36,346.306,49.2114,0.0134327,0.0100003,74.9999
0.132,406.366,346.307,49.5622,0.0137699,0.0100004,74.9999
0.143,411.371,346.307,49.9081,0.0141112,0.0100004,74.9999
0.154,416.377,346.308,50.2491,0.0144567,0.0100005,74.9999
0.165,421.382,346.309,50.5853,0.0148063,0.0100005,74.9999
0.176,426.387,346.309,50.9167,0.0151602,0.0100005,74.9999
0.187,431.393,346.31,51.2435,0.0155182,0.0100006,74.9999
0.198,436.398,346.311,51.5657,0.0158804,0.0100006,74.9999
0.209,441.404,346.312,51.8834,0.0162468,0.0100007,74.9999
0.22,446.409,346.312,52.1966,0.0166173,0.0100007,74.9998
0.231,451.414,346.313,52.5055,0.0169921,0.0100008,74.9998
0.242,456.42,346.314,52.8102,0.017371,0.0100008,74.9998
0.253,461.425,346.315,53.1106,0.0177541,0.0100009,74.9998
0.264,466.43,346.316,53.4068,0.0181413,0.0100009,74.9998
0.275,471.436,346.316,53.699,0.0185328,0.010001,74.9998
0.286,476.441,346.317,53.9872,0.0189284,0.010001,74.9998
0.297,481.446,346.318,54.2715,0.0193282,0.0100011,74.9998
0.308,486.452,346.319,54.5518,0.0197322,0.0100011,74.9998
0.319,491.457,346.32,54.8284,0.0201403,0.0100012,74.9998
0.33,496.462,346.321,55.1012,0.0205527,0.0100012,74.9998
0.341,501.468,346.322,55.3704,0.0209692,0.0100013,74.9998
0.352,506.473,346.323,55.6359,0.0213899,0.0100013,74.9998
0.363,511.478,346.324,55.8979,0.0218147,0.0100014,74.9998
0.374,516.484,346.325,56.1564,0.0222438,0.0100014,74.9998
0.385,521.489,346.326,56.4115,0.022677,0.0100015,74.9997
