time,v_perp,v_para,pitch_angle,v_perp_eV,v_para_eV,inval_lat
0.913,3079.51,348.006,83.5525,0.790787,0.0100988,74.9996
0.924,3112.44,348.051,83.6194,0.807789,0.0101014,74.9996
0.935,3145.37,348.097,83.6848,0.824972,0.0101041,74.9996
0.946,3178.3,348.144,83.7489,0.842336,0.0101068,74.9996
0.957,3211.23,348.192,83.8116,0.859881,0.0101096,74.9996
0.968,3244.16,348.24,83.8731,0.877606,0.0101124,74.9996
0.979,3277.09,348.289,83.9334,0.895512,0.0101152,74.9996
0.99,3310.02,348.339,83.9924,0.913599,0.0101181,74.9996
1.001,3342.95,348.39,84.0503,0.931867,0.0101211,74.9996
1.012,3375.87,348.442,84.1071,0.950316,0.0101241,74.9996
1.023,3408.8,348.494,84.1627,0.968945,0.0101271,74.9996
1.034,3441.73,348.547,84.2173,0.987755,0.0101302,74.9996
1.045,3474.66,348.601,84.2709,1.00675,0.0101333,74.9995
1.056,3507.59,348.656,84.3234,1.02592,0.0101365,74.9995
1.067,3540.52,348.711,84.375,1.04527,0.0101398,74.9995
1.078,3573.45,348.768,84.4256,1.0648,0.010143,74.9995
1.089,3606.38,348.825,84.4753,1.08452,0.0101464,74.9995
1.1,3639.3,348.883,84.5241,1.10441,0.0101497,74.9995
1.111,3672.23,348.942,84.572,1.12449,0.0101532,74.9995
1.122,3705.16,349.002,84.619,1.14475,0.0101566,74.9995
1.133,3738.09,349.062,84.6652,1.16518,0.0101602,74.9995
1.144,3771.02,349.124,84.7106,1.1858,0.0101638,74.9995
1.155,3803.95,349.186,84.7552,1.2066,0.0101674,74.9995
1.166,3836.87,349.249,84.799,1.22758,0.0101711,74.9995
1.177,3869.8,349.313,84.8421,1.24874,0.0101748,74.9995
1.188,3902.73,349.378,84.8844,1.27008,0.0101786,74.9995
1.199,3935.66,349.444,84.9261,1.29161,0.0101824,74.9995
1.21,3968.59,349.511,84.967,1.31331,0.0101863,74.9995
1.221,4001.52,349.579,85.0072,1.33519,0.0101902,74.9995
1.232,4034.44,349.647,85.0468,1.35726,0.0101942,74.9995
1.243,4067.37,349.717,85.0857,1.3795,0.0101983,74.9995
1.254,4100.3,349.787,85.124,1.40193,0.0102024,74.9995
1.265,4133.23,349.858,85.1617,1.42454,0.0102066,74.9995
1.276,4166.16,349.93,85.1988,1.44733,0.0102108,74.9995
1.287,4199.08,350.004,85.2353,1.47029,0.010215,74.9994
1.298,4232.01,350.078,85.2712,1.49344,0.0102194,74.9994
1.309,4264.94,350.153,85.3065,1.51677,0.0102237,74.9994
1.32,4297.87,350.229,85.3413,1.54029,0.0102282,74.9994
1.331,4330.8,350.306,85.3756,1.56398,0.0102327,74.9994
1.342,4363.72,350.383,85.4093,1.58785,0.0102372,74.9994
1.353,4396.65,350.462,85.4425,1.6119,0.0102418,74.9994
1.364,4429.58,350.542,85.4752,1.63614,0.0102465,74.9994
1.375,4462.51,350.623,85.5075,1.66055,0.0102512,74.9994
1.386,4495.44,350.705,85.5392,1.68515,0.010256,74.9994
1.397,4528.36,350.787,85.5705,1.70993,0.0102608,74.9994
1.408,4561.29,350.871,85.6013,1.73488,0.0102657,74.9994
1.419,4594.22,350.956,85.6316,1.76002,0.0102707,74.9994
1.43,4627.15,351.042,85.6615,1.78534,0.0102757,74.9994
1.441,4660.07,351.129,85.691,1.81084,0.0102808,74.9994
1.452,4693,351.216,85.7201,1.83652,0.010286,74.9994
1.463,4725.93,351.305,85.7487,1.86238,0.0102912,74.9994
1.474,4758.86,351.395,85.7769,1.88843,0.0102964,74.9994
1.485,4791.78,351.486,85.8048,1.91465,0.0103017,74.9994
1.496,4824.71,351.578,85.8322,1.94105,0.0103071,74.9994
1.507,4857.64,351.671,85.8593,1.96764,0.0103126,74.9994
1.518,4890.57,351.765,85.886,1.9944,0.0103181,74.9993
1.529,4923.49,351.86,85.9123,2.02135,0.0103237,74.9993
1.54,4956.42,351.956,85.9382,2.04848,0.0103293,74.9993
1.551,4989.35,352.053,85.9638,2.07579,0.010335,74.9993
1.562,5022.27,352.151,85.9891,2.10327,0.0103408,74.9993
1.573,5055.2,352.251,86.014,2.13094,0.0103466,74.9993
1.584,5088.13,352.351,86.0386,2.15879,0.0103525,74.9993
1.595,5121.06,352.453,86.0629,2.18683,0.0103585,74.9993
1.606,5153.98,352.555,86.0868,2.21504,0.0103645,74.9993
1.617,5186.91,352.659,86.1104,2.24343,0.0103706,74.9993
1.628,5219.84,352.764,86.1337,2.272,0.0103768,74.9993
1.639,5252.76,352.87,86.1568,2.30076,0.010383,74.9993
1.65,5285.69,352.977,86.1795,2.32969,0.0103893,74.9993
1.661,5318.62,353.085,86.2019,2.35881,0.0103957,74.9993
1.672,5351.54,353.194,86.224,2.38811,0.0104021,74.9993
1.683,5384.47,353.305,86.2459,2.41758,0.0104087,74.9993
1.694,5417.4,353.417,86.2675,2.44724,0.0104152,74.9993
1.705,5450.33,353.529,86.2888,2.47708,0.0104219,74.9993
1.716,5483.25,353.643,86.3098,2.5071,0.0104286,74.9993
1.727,5516.18,353.758,86.3306,2.5373,0.0104354,74.9993
1.738,5549.11,353.874,86.3511,2.56768,0.0104422,74.9993
1.749,5582.03,353.992,86.3714,2.59824,0.0104492,74.9993
1.76,5614.96,354.11,86.3914,2.62899,0.0104562,74.9992
1.771,5647.89,354.23,86.4112,2.65991,0.0104632,74.9992
1.782,5680.81,354.351,86.4307,2.69101,0.0104704,74.9992
1.793,5713.74,354.473,86.45,2.7223,0.0104776,74.9992
1.804,5746.67,354.596,86.4691,2.75377,0.0104849,74.9992
1.815,5779.59,354.721,86.4879,2.78541,0.0104923,74.9992
1.826,5812.52,354.847,86.5065,2.81724,0.0104997,74.9992
1.837,5845.44,354.974,86.5249,2.84925,0.0105072,74.9992
1.848,5878.37,355.102,86.5431,2.88144,0.0105148,74.9992
1.859,5911.3,355.231,86.561,2.91381,0.0105225,74.9992
1.87,5944.22,355.362,86.5788,2.94636,0.0105302,74.9992
1.881,5977.15,355.494,86.5963,2.97909,0.010538,74.9992
1.892,6010.08,355.627,86.6137,3.012,0.0105459,74.9992
1.903,6043,355.761,86.6308,3.04509,0.0105539,74.9992
1.914,6075.93,355.897,86.6477,3.07837,0.0105619,74.9992
1.925,6108.85,356.033,86.6645,3.11182,0.01057,74.9992
1.936,6141.78,356.172,86.681,3.14546,0.0105782,74.9992
1.947,6174.71,356.311,86.6974,3.17927,0.0105865,74.9992
1.958,6207.63,356.452,86.7136,3.21327,0.0105949,74.9992
1.969,6240.56,356.594,86.7296,3.24745,0.0106033,74.9992
1.98,6273.48,356.737,86.7454,3.28181,0.0106118,74.9992
1.991,6306.41,356.881,86.7611,3.31634,0.0106204,74.9991
2.002,6339.34,357.027,86.7765,3.35106,0.0106291,74.9991
2.013,6372.26,357.174,86.7918,3.38596,0.0106379,74.9991
2.024,6405.19,357.323,86.807,3.42105,0.0106467,74.9991
2.035,6438.11,357.473,86.8219,3.45631,0.0106557,74.9991
2.046,6471.04,357.624,86.8368,3.49175,0.0106647,74.9991
2.057,6503.97,357.776,86.8514,3.52737,0.0106738,74.9991
2.068,6536.89,357.93,86.8659,3.56318,0.0106829,74.9991
2.079,6569.82,358.085,86.8802,3.59916,0.0106922,74.9991
2.09,6602.74,358.241,86.8944,3.63533,0.0107015,74.9991
2.101,6635.67,358.399,86.9084,3.67168,0.010711,74.9991
2.112,6668.59,358.558,86.9223,3.7082,0.0107205,74.9991
2.123,6701.52,358.719,86.936,3.74491,0.0107301,74.9991
2.134,6734.44,358.881,86.9496,3.7818,0.0107398,74.9991
2.145,6767.37,359.044,86.963,3.81887,0.0107495,74.9991
2.156,6800.3,359.208,86.9763,3.85612,0.0107594,74.9991
2.167,6833.22,359.374,86.9895,3.89355,0.0107693,74.9991
2.178,6866.15,359.542,87.0025,3.93116,0.0107794,74.9991
2.189,6899.07,359.711,87.0154,3.96896,0.0107895,74.9991
2.2,6932,359.881,87.0281,4.00693,0.0107997,74.9991
2.211,6964.92,360.052,87.0407,4.04509,0.01081,74.9991
2.222,6997.85,360.225,87.0532,4.08342,0.0108204,74.999
2.233,7030.77,360.4,87.0656,4.12194,0.0108309,74.999
2.244,7063.7,360.576,87.0778,4.16063,0.0108415,74.999
2.255,7096.62,360.753,87.0899,4.19951,0.0108521,74.999
2.266,7129.55,360.931,87.1019,4.23857,0.0108629,74.999
2.277,7162.47,361.112,87.1138,4.27781,0.0108737,74.999
2.288,7195.4,361.293,87.1255,4.31723,0.0108847,74.999
2.299,7228.32,361.476,87.1371,4.35683,0.0108957,74.999
2.31,7261.25,361.661,87.1486,4.39661,0.0109068,74.999
2.321,7294.17,361.847,87.16,4.43657,0.010918,74.999
2.332,7327.1,362.034,87.1713,4.47671,0.0109293,74.999
2.343,7360.02,362.223,87.1825,4.51703,0.0109408,74.999
2.354,7392.95,362.413,87.1935,4.55754,0.0109523,74.999
2.365,7425.87,362.605,87.2045,4.59822,0.0109639,74.999
2.376,7458.8,362.799,87.2153,4.63909,0.0109756,74.999
2.387,7491.72,362.993,87.226,4.68013,0.0109873,74.999
2.398,7524.65,363.19,87.2367,4.72136,0.0109992,74.999
2.409,7557.57,363.388,87.2472,4.76277,0.0110112,74.999
2.42,7590.49,363.587,87.2576,4.80436,0.0110233,74.999
2.431,7623.42,363.788,87.2679,4.84613,0.0110355,74.999
2.442,7656.34,363.99,87.2781,4.88808,0.0110478,74.999
2.453,7689.27,364.194,87.2883,4.93021,0.0110602,74.9989
2.464,7722.19,364.4,87.2983,4.97252,0.0110726,74.9989
2.475,7755.12,364.607,87.3082,5.01501,0.0110852,74.9989
2.486,7788.04,364.815,87.3181,5.05768,0.0110979,74.9989
2.497,7820.97,365.026,87.3278,5.10054,0.0111107,74.9989
2.508,7853.89,365.237,87.3374,5.14357,0.0111236,74.9989
2.519,7886.81,365.451,87.347,5.18679,0.0111366,74.9989
2.53,7919.74,365.665,87.3565,5.23018,0.0111497,74.9989
2.541,7952.66,365.882,87.3658,5.27376,0.0111629,74.9989
2.552,7985.59,366.1,87.3751,5.31752,0.0111762,74.9989
2.563,8018.51,366.319,87.3843,5.36145,0.0111896,74.9989
2.574,8051.43,366.54,87.3934,5.40557,0.0112031,74.9989
2.585,8084.36,366.763,87.4024,5.44987,0.0112167,74.9989
2.596,8117.28,366.988,87.4114,5.49435,0.0112305,74.9989
2.607,8150.21,367.214,87.4202,5.53901,0.0112443,74.9989
2.618,8183.13,367.441,87.429,5.58385,0.0112582,74.9989
2.629,8216.05,367.67,87.4377,5.62888,0.0112723,74.9989
2.64,8248.98,367.901,87.4463,5.67408,0.0112865,74.9989
2.651,8281.9,368.134,87.4549,5.71946,0.0113007,74.9989
2.662,8314.83,368.368,87.4633,5.76503,0.0113151,74.9989
2.673,8347.75,368.603,87.4717,5.81077,0.0113296,74.9989
2.684,8380.67,368.841,87.48,5.8567,0.0113442,74.9988
2.695,8413.6,369.08,87.4882,5.90281,0.0113589,74.9988
2.706,8446.52,369.321,87.4964,5.94909,0.0113737,74.9988
2.717,8479.44,369.563,87.5044,5.99556,0.0113886,74.9988
2.728,8512.37,369.807,87.5124,6.04221,0.0114037,74.9988
2.739,8545.29,370.053,87.5204,6.08904,0.0114189,74.9988
2.75,8578.21,370.3,87.5282,6.13605,0.0114341,74.9988
2.761,8611.14,370.549,87.536,6.18324,0.0114495,74.9988
2.772,8644.06,370.8,87.5437,6.23061,0.011465,74.9988
2.783,8676.98,371.053,87.5514,6.27817,0.0114806,74.9988
2.794,8709.91,371.307,87.5589,6.3259,0.0114964,74.9988
2.805,8742.83,371.563,87.5664,6.37381,0.0115122,74.9988
2.816,8775.75,371.82,87.5739,6.42191,0.0115282,74.9988
2.827,8808.68,372.08,87.5813,6.47018,0.0115443,74.9988
2.838,8841.6,372.341,87.5886,6.51864,0.0115605,74.9988
2.849,8874.52,372.604,87.5958,6.56728,0.0115768,74.9988
2.86,8907.45,372.868,87.603,6.61609,0.0115933,74.9988
2.871,8940.37,373.134,87.6101,6.66509,0.0116098,74.9988
2.882,8973.29,373.402,87.6171,6.71427,0.0116265,74.9988
2.893,9006.22,373.672,87.6241,6.76363,0.0116433,74.9988
2.904,9039.14,373.944,87.6311,6.81317,0.0116602,74.9987
2.915,9072.06,374.217,87.6379,6.86289,0.0116773,74.9987
