time,v_perp,v_para,pitch_angle,v_perp_eV,v_para_eV,inval_lat
0.011,352.425,346.3,45.5022,0.0103569,0.01,75
0.022,358.55,346.301,45.9956,0.01072,0.0100001,75
0.033,364.676,346.301,46.4804,0.0110894,0.0100001,75
0.044,370.801,346.302,46.9567,0.0114651,0.0100001,75
0.055,376.926,346.303,47.4246,0.011847,0.0100001,75
0.066,383.051,346.303,47.8844,0.0122352,0.0100002,74.9999
0.077,389.177,346.304,48.3361,0.0126296,0.0100002,74.9999
0.088,395.302,346.304,48.78,0.0130303,0.0100002,74.9999
0.099,401.427,346.305,49.2162,0.0134372,0.0100003,74.9999
0.11,407.552,346.306,49.6448,0.0138504,0.0100003,74.9999
0.121,413.678,346.306,50.0659,0.0142698,0.0100004,74.9999
0.132,419.803,346.307,50.4798,0.0146955,0.0100004,74.9999
0.143,425.928,346.308,50.8866,0.0151275,0.0100004,74.9999
0.154,432.053,346.308,51.2864,0.0155657,0.0100005,74.9999
0.165,438.178,346.309,51.6793,0.0160102,0.0100005,74.9999
0.176,444.303,346.31,52.0656,0.0164609,0.0100006,74.9999
0.187,450.429,346.311,52.4452,0.0169179,0.0100006,74.9999
0.198,456.554,346.311,52.8185,0.0173812,0.0100007,74.9999
0.209,462.679,346.312,53.1854,0.0178507,0.0100007,74.9999
0.22,468.804,346.313,53.5461,0.0183264,0.0100008,74.9998
0.231,474.929,346.314,53.9008,0.0188084,0.0100008,74.9998
0.242,481.054,346.315,54.2496,0.0192967,0.0100009,74.9998
0.253,487.179,346.316,54.5925,0.0197912,0.0100009,74.9998
0.264,493.304,346.317,54.9298,0.020292,0.010001,74.9998
0.275,499.429,346.318,55.2615,0.020799,0.010001,74.9998
0.286,505.554,346.319,55.5878,0.0213123,0.0100011,74.9998
0.297,511.679,346.32,55.9087,0.0218319,0.0100011,74.9998
0.308,517.805,346.321,56.2244,0.0223577,0.0100012,74.9998
0.319,523.93,346.322,56.535,0.0228897,0.0100013,74.9998
0.33,530.055,346.323,56.8405,0.0234281,0.0100013,74.9998
0.341,536.18,346.324,57.1412,0.0239726,0.0100014,74.9998
0.352,542.305,346.325,57.437,0.0245235,0.0100014,74.9998
0.363,548.43,346.326,57.7281,0.0250805,0.0100015,74.9998
0.374,554.555,346.327,58.0146,0.0256439,0.0100016,74.9998
0.385,560.68,346.329,58.2966,0.0262135,0.0100017,74.9997
0.396,566.805,346.33,58.5742,0.0267893,0.0100017,74.9997
0.407,572.93,346.331,58.8474,0.0273714,0.0100018,74.9997
0.418,579.055,346.332,59.1164,0.0279598,0.0100019,74.9997
0.429,585.18,346.334,59.3812,0.0285544,0.010002,74.9997
0.44,591.304,346.335,59.6419,0.0291553,0.010002,74.9997
0.451,597.429,346.336,59.8987,0.0297624,0.0100021,74.9997
0.462,603.554,346.338,60.1515,0.0303758,0.0100022,74.9997
0.473,609.679,346.339,60.4005,0.0309955,0.0100023,74.9997
0.484,615.804,346.341,60.6457,0.0316214,0.0100024,74.9997
0.495,621.929,346.342,60.8873,0.0322535,0.0100024,74.9997
0.506,628.054,346.344,61.1252,0.0328919,0.0100025,74.9997
0.517,634.179,346.345,61.3596,0.0335366,0.0100026,74.9997
0.528,640.304,346.347,61.5906,0.0341875,0.0100027,74.9997
0.539,646.429,346.349,61.8181,0.0348447,0.0100028,74.9996
0.55,652.554,346.35,62.0424,0.0355081,0.0100029,74.9996
0.561,658.678,346.352,62.2633,0.0361778,0.010003,74.9996
0.572,664.803,346.354,62.4811,0.0368537,0.0100031,74.9996
0.583,670.928,346.355,62.6957,0.0375359,0.0100032,74.9996
0.594,677.053,346.357,62.9073,0.0382244,0.0100033,74.9996
0.605,683.178,346.359,63.1158,0.0389191,0.0100034,74.9996
0.616,689.303,346.361,63.3214,0.03962,0.0100035,74.9996
0.627,695.427,346.363,63.5241,0.0403273,0.0100036,74.9996
0.638,701.552,346.365,63.7239,0.0410407,0.0100037,74.9996
0.649,707.677,346.367,63.921,0.0417605,0.0100038,74.9996
0.66,713.802,346.368,64.1153,0.0424864,0.010004,74.9996
0.671,719.927,346.37,64.3069,0.0432187,0.0100041,74.9996
0.682,726.051,346.373,64.4959,0.0439572,0.0100042,74.9996
0.693,732.176,346.375,64.6823,0.0447019,0.0100043,74.9996
0.704,738.301,346.377,64.8662,0.0454529,0.0100044,74.9995
